Area_name,STCOU,EDU010187F,EDU010187D,EDU010187N1,EDU010187N2,EDU010188F,EDU010188D,EDU010188N1,EDU010188N2,EDU010189F,EDU010189D,EDU010189N1,EDU010189N2,EDU010190F,EDU010190D,EDU010190N1,EDU010190N2,EDU010191F,EDU010191D,EDU010191N1,EDU010191N2,EDU010192F,EDU010192D,EDU010192N1,EDU010192N2,EDU010193F,EDU010193D,EDU010193N1,EDU010193N2,EDU010194F,EDU010194D,EDU010194N1,EDU010194N2,EDU010195F,EDU010195D,EDU010195N1,EDU010195N2,EDU010196F,EDU010196D,EDU010196N1,EDU010196N2
UNITED STATES,0,0,40024299,0,0,0,39967624,0,0,0,40317775,0,0,0,40737600,0,0,0,41385442,0,0,0,42088151,0,0,0,42724710,0,0,0,43369917,0,0,0,43993459,0,0,0,44715737,0,0
ALABAMA,1000,0,733735,0,0,0,728234,0,0,0,730048,0,0,0,728252,0,0,0,725541,0,0,0,726150,0,0,0,728014,0,0,0,730509,0,0,0,727989,0,0,0,736825,0,0
"Autauga, AL",1001,0,6829,0,0,0,6900,0,0,0,6920,0,0,0,6847,0,0,0,7008,0,0,0,7137,0,0,0,7152,0,0,0,7381,0,0,0,7568,0,0,0,7834,0,0
"Baldwin, AL",1003,0,16417,0,0,0,16465,0,0,0,16799,0,0,0,17054,0,0,0,17479,0,0,0,17983,0,0,0,18735,0,0,0,19384,0,0,0,19961,0,0,0,20699,0,0
"Barbour, AL",1005,0,5071,0,0,0,5098,0,0,0,5068,0,0,0,5156,0,0,0,5173,0,0,0,5252,0,0,0,5135,0,0,0,5111,0,0,0,5017,0,0,0,5053,0,0
"Bibb, AL",1007,0,3557,0,0,0,3508,0,0,0,3571,0,0,0,3621,0,0,0,3652,0,0,0,3564,0,0,0,3565,0,0,0,3552,0,0,0,3539,0,0,0,3656,0,0
"Blount, AL",1009,0,7319,0,0,0,7223,0,0,0,7205,0,0,0,7209,0,0,0,7155,0,0,0,7150,0,0,0,7210,0,0,0,7300,0,0,0,7421,0,0,0,7622,0,0
"Bullock, AL",1011,0,2014,0,0,0,1980,0,0,0,1985,0,0,0,1983,0,0,0,1985,0,0,0,2023,0,0,0,2010,0,0,0,2011,0,0,0,1972,0,0,0,1989,0,0
"Butler, AL",1013,0,4640,0,0,0,4582,0,0,0,4610,0,0,0,4591,0,0,0,4544,0,0,0,4476,0,0,0,4444,0,0,0,4348,0,0,0,4300,0,0,0,4173,0,0
"Calhoun, AL",1015,0,20939,0,0,0,20923,0,0,0,20907,0,0,0,20849,0,0,0,20768,0,0,0,20485,0,0,0,20510,0,0,0,20110,0,0,0,19619,0,0,0,19665,0,0
"Chambers, AL",1017,0,7109,0,0,0,6962,0,0,0,6962,0,0,0,6853,0,0,0,6551,0,0,0,6200,0,0,0,5984,0,0,0,5874,0,0,0,5750,0,0,0,5732,0,0
"Cherokee, AL",1019,0,3789,0,0,0,3796,0,0,0,3849,0,0,0,3793,0,0,0,3697,0,0,0,3695,0,0,0,3659,0,0,0,3681,0,0,0,3714,0,0,0,3794,0,0
"Chilton, AL",1021,0,6151,0,0,0,6117,0,0,0,6139,0,0,0,6131,0,0,0,6228,0,0,0,6309,0,0,0,6245,0,0,0,6297,0,0,0,6228,0,0,0,6257,0,0
"Choctaw, AL",1023,0,3418,0,0,0,3365,0,0,0,3324,0,0,0,3213,0,0,0,3121,0,0,0,3095,0,0,0,3032,0,0,0,2919,0,0,0,2929,0,0,0,2719,0,0
"Clarke, AL",1025,0,5976,0,0,0,6095,0,0,0,6124,0,0,0,6122,0,0,0,6104,0,0,0,6119,0,0,0,5940,0,0,0,5847,0,0,0,5677,0,0,0,5603,0,0
"Clay, AL",1027,0,2906,0,0,0,2857,0,0,0,2810,0,0,0,2692,0,0,0,2664,0,0,0,2682,0,0,0,2631,0,0,0,2570,0,0,0,2616,0,0,0,2635,0,0
"Cleburne, AL",1029,0,2419,0,0,0,2380,0,0,0,2432,0,0,0,2401,0,0,0,2403,0,0,0,2384,0,0,0,2409,0,0,0,2393,0,0,0,2446,0,0,0,2488,0,0
"Coffee, AL",1031,0,8470,0,0,0,8570,0,0,0,8514,0,0,0,8496,0,0,0,8277,0,0,0,8317,0,0,0,8371,0,0,0,8434,0,0,0,8424,0,0,0,8477,0,0
"Colbert, AL",1033,0,9065,0,0,0,8855,0,0,0,8667,0,0,0,8582,0,0,0,8508,0,0,0,8625,0,0,0,8606,0,0,0,8637,0,0,0,8646,0,0,0,8761,0,0
