Area_name,STCOU,EDU010197F,EDU010197D,EDU010197N1,EDU010197N2,EDU010198F,EDU010198D,EDU010198N1,EDU010198N2,EDU010199F,EDU010199D,EDU010199N1,EDU010199N2,EDU010200F,EDU010200D,EDU010200N1,EDU010200N2,EDU010201F,EDU010201D,EDU010201N1,EDU010201N2,EDU010202F,EDU010202D,EDU010202N1,EDU010202N2,EDU015203F,EDU015203D,EDU015203N1,EDU015203N2,EDU015204F,EDU015204D,EDU015204N1,EDU015204N2,EDU015205F,EDU015205D,EDU015205N1,EDU015205N2,EDU015206F,EDU015206D,EDU015206N1,EDU015206N2
UNITED STATES,0,0,44534459,0,0,0,46245814,0,0,0,46368903,0,0,0,46818690,0,0,0,47127066,0,0,0,47606570,0,0,0,48506317,0,0,0,48693287,0,0,0,48978555,0,0,0,49140702,0,0
ALABAMA,1000,0,737386,0,0,0,739321,0,0,0,737639,0,0,0,731613,0,0,0,730627,0,0,0,728539,0,0,0,731251,0,0,0,730140,0,0,0,743626,0,0,0,743632,0,0
"Autauga, AL",1001,0,8099,0,0,0,8211,0,0,0,8489,0,0,0,8912,0,0,0,8626,0,0,0,8762,0,0,0,9105,0,0,0,9200,0,0,0,9559,0,0,0,9652,0,0
"Baldwin, AL",1003,0,21410,0,0,0,21771,0,0,0,22176,0,0,0,22337,0,0,0,22656,0,0,0,23062,0,0,0,24037,0,0,0,24443,0,0,0,25958,0,0,0,26286,0,0
"Barbour, AL",1005,0,5100,0,0,0,5024,0,0,0,4906,0,0,0,4793,0,0,0,4671,0,0,0,4554,0,0,0,4329,0,0,0,4265,0,0,0,4155,0,0,0,4057,0,0
"Bibb, AL",1007,0,3717,0,0,0,3760,0,0,0,3689,0,0,0,3646,0,0,0,3556,0,0,0,3595,0,0,0,3529,0,0,0,3559,0,0,0,3533,0,0,0,3506,0,0
"Blount, AL",1009,0,7816,0,0,0,8054,0,0,0,8135,0,0,0,8346,0,0,0,8517,0,0,0,8652,0,0,0,9042,0,0,0,9118,0,0,0,9342,0,0,0,9613,0,0
"Bullock, AL",1011,0,2010,0,0,0,1989,0,0,0,1945,0,0,0,1953,0,0,0,1981,0,0,0,1916,0,0,0,1820,0,0,0,1781,0,0,0,1807,0,0,0,1696,0,0
"Butler, AL",1013,0,4119,0,0,0,3989,0,0,0,3850,0,0,0,3665,0,0,0,3632,0,0,0,3601,0,0,0,3557,0,0,0,3548,0,0,0,3503,0,0,0,3429,0,0
"Calhoun, AL",1015,0,19721,0,0,0,19565,0,0,0,19267,0,0,0,18291,0,0,0,18175,0,0,0,18075,0,0,0,18133,0,0,0,18090,0,0,0,18358,0,0,0,18259,0,0
"Chambers, AL",1017,0,5733,0,0,0,5739,0,0,0,5686,0,0,0,5591,0,0,0,5557,0,0,0,5482,0,0,0,5410,0,0,0,5317,0,0,0,5327,0,0,0,5217,0,0
"Cherokee, AL",1019,0,3815,0,0,0,3884,0,0,0,3933,0,0,0,3962,0,0,0,3919,0,0,0,3993,0,0,0,4204,0,0,0,4225,0,0,0,4196,0,0,0,4158,0,0
"Chilton, AL",1021,0,6355,0,0,0,6413,0,0,0,6562,0,0,0,6663,0,0,0,6785,0,0,0,6855,0,0,0,7102,0,0,0,7210,0,0,0,7276,0,0,0,7453,0,0
"Choctaw, AL",1023,0,2627,0,0,0,2557,0,0,0,2431,0,0,0,2333,0,0,0,2262,0,0,0,2198,0,0,0,2147,0,0,0,2072,0,0,0,2046,0,0,0,2035,0,0
"Clarke, AL",1025,0,5590,0,0,0,5517,0,0,0,5391,0,0,0,5312,0,0,0,5280,0,0,0,5245,0,0,0,5195,0,0,0,5196,0,0,0,5151,0,0,0,5050,0,0
"Clay, AL",1027,0,2593,0,0,0,2574,0,0,0,2553,0,0,0,2503,0,0,0,2426,0,0,0,2339,0,0,0,2029,0,0,0,2064,0,0,0,2111,0,0,0,2135,0,0
"Cleburne, AL",1029,0,2527,0,0,0,2498,0,0,0,2564,0,0,0,2557,0,0,0,2558,0,0,0,2571,0,0,0,2611,0,0,0,2503,0,0,0,2894,0,0,0,2703,0,0
"Coffee, AL",1031,0,8440,0,0,0,8474,0,0,0,8370,0,0,0,8212,0,0,0,8008,0,0,0,8008,0,0,0,8239,0,0,0,8361,0,0,0,8709,0,0,0,8823,0,0
"Colbert, AL",1033,0,8795,0,0,0,8701,0,0,0,8571,0,0,0,8516,0,0,0,8532,0,0,0,8500,0,0,0,8507,0,0,0,8481,0,0,0,8527,0,0,0,8417,0,0
